layer_order,mlp_layers,mlp_solver,logistic_regressions,svc_kernel,xgb_estimators,rf_estimators,early_stopping_iterations,positions,mean_accuracy,max_accuracy,min_accuracy,std_accuracy,max_false_negative,max_false_positive,max_true_negative,max_true_positive,mean_false_negative,mean_false_positive,mean_true_negative,mean_true_positive,min_false_negative,min_false_positive,min_true_negative,min_true_positive,neg_max_f1,neg_max_precision,neg_max_recall,neg_mean_f1,neg_mean_precision,neg_mean_recall,neg_min_f1,neg_min_precision,neg_min_recall,neg_std_f1,neg_std_precision,neg_std_recall,pos_max_f1,pos_max_precision,pos_max_recall,pos_mean_f1,pos_mean_precision,pos_mean_recall,pos_min_f1,pos_min_precision,pos_min_recall,pos_std_f1,pos_std_precision,pos_std_recall,std_false_negative,std_false_positive,std_true_negative,std_true_positive
mlp=>svc=>logit3=>xgb=>mlp,"[[39, 64], [27, 31, 74]]","['adam', 'lbfgs']","(0, 0)",['rbf'],[15],,2,"[0, 4, 5, 2, 0]",0.6864406779661016,0.7288135593220338,0.6610169491525424,0.025423728813559303,42,23,97,32,34.75,20.75,91.5,30.0,25,18,87,29,0.8016528925619835,0.7950819672131147,0.8285714285714286,0.7670637971132456,0.7257317321133562,0.8156057758031443,0.7435897435897435,0.6744186046511628,0.7982456140350878,0.021267397532878908,0.04432816675864177,0.012830525558128214,0.5714285714285714,0.625,0.5614035087719298,0.5200310559006212,0.5921692890442891,0.46780586416289477,0.5,0.5576923076923077,0.4166666666666667,0.02972740821916761,0.025087847235377752,0.05624659259722241,6.299801584177076,2.277608394786075,3.570714214271425,1.224744871391589
logit3=>xgb,,,"(0, 0)",,[126],,1,"[5, 2]",0.692090395480226,0.7175141242937854,0.6779661016949152,0.016227578097565087,36,26,92,36,33.5,21.0,90.0,32.5,28,14,87,30,0.7844827586206896,0.7666666666666667,0.8666666666666667,0.7675831066127494,0.7291240196215143,0.8120118963339303,0.7532467532467533,0.7142857142857143,0.7796610169491526,0.012115139570795193,0.02173951854440052,0.03346824734104356,0.5901639344262295,0.72,0.5254237288135594,0.5435131429302726,0.6103451643815421,0.4931266241979624,0.5128205128205129,0.543859649122807,0.45454545454545453,0.028495068986825564,0.06591064693043804,0.0253929133834636,3.278719262151,4.415880433163924,1.8708286933869707,2.29128784747792
svc=>svc=>logit1=>logit1=>logit3=>mlp,"[[58, 108]]",['adam'],"(2, 0)","['linear', 'poly']",,,2,"[4, 4, 1, 1, 5, 0]",0.6596045197740114,0.7175141242937854,0.632768361581921,0.03468369818590021,43,28,93,34,38.25,22.0,87.0,29.75,31,19,79,26,0.7881355932203391,0.75,0.8303571428571429,0.742320534005497,0.6946365393236644,0.7981523497464253,0.7085201793721972,0.6475409836065574,0.7543859649122807,0.029737654357301243,0.03697337235727004,0.031488228389047856,0.5762711864406779,0.6415094339622641,0.5230769230769231,0.4961773539821736,0.5751921733053809,0.438084700816899,0.4444444444444444,0.48148148148148145,0.38235294117647056,0.05110211124136464,0.05874050229387041,0.05241464425572225,4.763139720814412,3.6742346141747673,5.244044240850758,3.766629793329841
xgb=>logit2=>xgb=>logit3,[],[],"(0, 1)",[],"[1, 102]",,3,"[2, 3, 2, 5]",0.6836158192090396,0.7288135593220338,0.6440677966101694,0.030161238000088447,39,30,95,36,35.25,20.75,88.75,32.25,32,16,84,28,0.7983193277310924,0.7480314960629921,0.8558558558558559,0.75990318810539,0.715577204571093,0.8116131628399712,0.7319148936170213,0.6829268292682927,0.7413793103448276,0.024709505126938893,0.023546416218185644,0.04251561482902927,0.5862068965517241,0.68,0.5151515151515151,0.5350895988857806,0.6123563218390804,0.47751256538382864,0.47058823529411764,0.4827586206896552,0.45588235294117646,0.04300619902878765,0.07806931328869374,0.023626533481327008,2.8613807855648994,5.448623679425842,4.205650960315181,3.031088913245535
logit2=>logit1=>logit3,,,"(1, 1)",,[],,1,"[3, 1, 5]",0.6836158192090396,0.7401129943502824,0.6610169491525424,0.03294323104432371,37,30,91,41,29.75,26.25,90.0,31.0,22,23,89,27,0.7964601769911505,0.8035714285714286,0.7946428571428571,0.7631731674970874,0.7530828588265908,0.7747236303656606,0.7478991596638657,0.7063492063492064,0.7520661157024794,0.019610435060103334,0.035723611546525216,0.017832450588681183,0.640625,0.6307692307692307,0.6507936507936508,0.5220739753478524,0.5383641375527786,0.5097975000517373,0.4736842105263158,0.4827586206896552,0.4307692307692308,0.06872605358116218,0.05915275829794331,0.08506339044105617,5.494315243958978,2.8613807855648994,0.7071067811865476,5.787918451395113
logit2=>logit3=>svc=>logit1=>logit1,[],[],"(2, 1)",['rbf'],,,1,"[3, 5, 4, 1, 1]",0.673728813559322,0.6779661016949152,0.6666666666666666,0.004684498291462428,44,27,96,35,37.25,20.5,91.0,28.25,32,13,83,23,0.768,0.7218045112781954,0.8773584905660378,0.7586738384304084,0.7102814396253248,0.8166440144149278,0.7377777777777778,0.6788321167883211,0.7545454545454545,0.012170133427965161,0.018199150259888004,0.043484538223639575,0.5426356589147286,0.675,0.5223880597014925,0.49175126473696135,0.5834179932970256,0.4308757707939177,0.44230769230769235,0.5227272727272727,0.38028169014084506,0.03562382966064447,0.05606169419586547,0.05752917475181906,4.322904116447646,4.9749371855331,4.847679857416329,4.322904116447646
logit3,[],[],"(0, 0)",[],,,2,[5],0.6779661016949152,0.7062146892655368,0.655367231638418,0.019159124246116613,38,24,92,33,34.5,22.5,88.5,31.5,28,21,85,29,0.7796610169491527,0.7666666666666667,0.8141592920353983,0.756154124537294,0.71971358438252,0.7971730751781959,0.735930735930736,0.6910569105691057,0.7870370370370371,0.017765161574328767,0.029901892274027356,0.010192695470677235,0.5593220338983051,0.6,0.5409836065573771,0.5250397510933182,0.5832553606237817,0.4787031350761973,0.5040650406504064,0.5740740740740741,0.4492753623188406,0.021729119142908353,0.009922640023666645,0.036918867830745536,3.905124837953327,1.118033988749895,3.5,1.6583123951777
xgb=>logit1=>mlp=>xgb=>logit1=>logit3,[[92]],['adam'],"(2, 0)",[],"[81, 26]",,2,"[2, 1, 0, 2, 1, 5]",0.6779661016949152,0.711864406779661,0.6497175141242938,0.024300353861702324,42,20,103,31,39.0,18.0,93.5,26.5,32,13,86,23,0.8015564202334631,0.762962962962963,0.8807339449541285,0.7654825831169074,0.7051360330981972,0.8382076890552417,0.7413793103448275,0.6793893129770993,0.8113207547169812,0.025445037460728265,0.03393886436736576,0.027562086401394133,0.5081967213114753,0.6666666666666666,0.43661971830985913,0.4811362961808987,0.5968365607112409,0.4048768547111546,0.45614035087719296,0.5476190476190477,0.38235294117647056,0.01889629007155665,0.04587898182697462,0.023448266483033976,4.123105625617661,2.9154759474226504,6.576473218982953,2.8722813232690143
mlp=>logit1=>logit3,"[[27, 146, 142]]",['sgd'],"(1, 0)",,[],,1,"[0, 1, 5]",0.6723163841807909,0.7231638418079096,0.6384180790960452,0.031201584794314296,47,17,105,29,42.75,15.25,95.5,23.5,35,14,89,19,0.8108108108108107,0.75,0.8823529411764706,0.7664904813230661,0.6905246479508123,0.8618385849733664,0.7460317460317459,0.6666666666666666,0.8468468468468469,0.02594275904647132,0.03451784121640528,0.01306452260255237,0.49572649572649574,0.6590909090909091,0.3972602739726027,0.446612076450268,0.6034383665962613,0.3549815200267422,0.37254901960784315,0.5277777777777778,0.2878787878787879,0.04866010622980499,0.04784268704065045,0.04554884095391195,4.602988159880492,1.0897247358851685,5.852349955359813,3.570714214271425
xgb=>mlp=>rf=>xgb=>rf=>logit3=>mlp,"[[126, 25, 3], [119, 133, 142]]","['adam', 'lbfgs']","(0, 0)",,"[96, 101]","[97, 69]",1,"[2, 0, 6, 2, 6, 5, 0]",0.6807909604519773,0.7005649717514124,0.6497175141242938,0.018949728622879563,40,31,101,35,34.0,22.5,91.25,29.25,25,13,86,23,0.7921568627450982,0.7747747747747747,0.8859649122807017,0.7628650099218904,0.7307748158811989,0.8039658666195804,0.7350427350427351,0.696969696969697,0.7350427350427351,0.020935128696080805,0.028749647751201386,0.06954054810633009,0.5555555555555556,0.6666666666666666,0.5833333333333334,0.506318620992534,0.5797979797979798,0.4650793650793651,0.4646464646464646,0.48333333333333334,0.36507936507936506,0.03509615327898914,0.07548689015076868,0.08007814588402842,6.363961030678928,8.52936105461599,6.139014578904337,4.264680527307995
